"Date","Q"
2004-05-11,523.896872340425
2004-05-12,532.52515625
2004-05-13,484.579395833333
2004-05-14,447.648416666667
2004-05-15,417.897385416667
2004-05-16,390.277635416667
2004-05-17,361.312958333333
2004-05-18,397.6093125
2004-05-19,416.466239583333
2004-05-20,366.1788125
2004-05-21,332.092947916667
2004-05-22,340.076489583333
2004-05-23,341.100791666667
2004-05-24,601.355635416667
2004-05-25,585.836947916667
2004-05-26,498.728958333333
2004-05-27,425.863666666667
2004-05-28,393.571
2004-05-29,516.11684375
2004-05-30,669.65503125
2004-05-31,453.4248125
2004-06-01,394.23315625
2004-06-02,360.65765625
2004-06-03,397.49896875
2004-06-04,381.511270833333
2004-06-05,344.925229166667
2004-06-06,321.374802083333
2004-06-07,304.880135416667
2004-06-08,299.152083333333
2004-06-09,295.458614583333
2004-06-10,286.42675
2004-06-11,275.832666666667
2004-06-12,302.56953125
2004-06-13,289.664895833333
2004-06-14,276.622302083333
2004-06-15,281.881510416667
2004-06-16,420.352833333333
2004-06-17,319.305635416667
2004-06-18,281.9400625
2004-06-19,264.47640625
2004-06-20,253.4374375
2004-06-21,245.571197916667
2004-06-22,238.949989583333
2004-06-23,233.08390625
2004-06-24,226.669447916667
2004-06-25,221.893145833333
2004-06-26,217.744666666667
2004-06-27,212.1406875
2004-06-28,211.93715625
2004-06-29,213.634836734694
2004-06-30,214.570925
2004-07-13,189.760178571429
2004-07-14,182.137833333333
2004-07-15,179.320395833333
2004-07-16,180.034291666667
2004-07-17,172.971364583333
2004-07-18,170.843625
2004-07-19,165.150052083333
2004-07-20,162.694802083333
2004-07-21,163.87415625
2004-07-22,163.167083333333
2004-07-23,230.187020833333
2004-07-24,221.413854166667
2004-07-25,200.36703125
2004-07-26,189.614322916667
2004-07-27,173.74053125
2004-07-28,152.428145833333
2004-07-29,164.26028125
2004-07-30,343.73890625
2004-07-31,413.221135416667
2004-08-01,518.49634375
2004-08-02,413.959145833333
2004-08-03,310.449614583333
2004-08-04,260.148458333333
2004-08-05,228.890427083333
2004-08-06,208.305875
2004-08-07,192.459447916667
2004-08-08,183.034510416667
2004-08-09,172.823166666667
2004-08-10,166.843427083333
2004-08-11,164.36034375
2004-08-12,162.967125
2004-08-13,157.376947916667
2004-08-14,153.990395833333
2004-08-15,151.979947916667
2004-08-16,148.676145833333
2004-08-17,148.124427083333
2004-08-18,146.617416666667
2004-08-19,143.50325
2004-08-20,141.83071875
2004-08-21,139.92346875
2004-08-22,138.57865625
2004-08-23,138.178666666667
2004-08-24,134.88871875
2004-08-25,130.76078125
2004-08-26,128.456947916667
2004-08-27,133.65065625
2004-08-28,129.195041666667
2004-08-29,127.9190625
2004-08-30,126.894833333333
2004-08-31,127.919041666667
2004-09-01,124.132
2006-05-09,237.7
2006-05-10,321.3
2006-05-12,243
2006-05-15,220.5
2006-05-16,148.1
