"Date","Q"
2010-07-16,8.71852986649389
2010-07-17,8.4768048846525
2010-07-18,8.54714883422012
2010-07-19,8.96476304881174
2010-07-20,11.1865065683679
2010-07-21,13.1700979693949
2010-07-22,14.1789237426554
2010-07-23,12.6515372000615
2010-07-24,11.1695615507883
2010-07-25,10.3411830524735
2010-07-26,9.6297095289112
2010-07-27,9.05220232876472
2010-07-28,9.08879070245059
2010-07-29,13.5780223444506
2010-07-30,16.6721472093788
2010-07-31,14.6170394116406
2010-08-01,11.9019448653208
2010-08-02,10.4052408385629
2010-08-03,9.48442895869058
2010-08-04,8.85593228075669
2010-08-05,8.51902690594244
2010-08-06,8.86243837392192
2010-08-07,17.2455259323939
2010-08-08,16.5293406655547
2010-08-09,13.6251699447222
2010-08-10,12.0552508723121
2010-08-11,11.6553662379119
2010-08-12,11.758984095612
2010-08-13,11.4115100390644
2010-08-14,11.6656026880759
2010-08-15,10.9243882354732
2010-08-16,9.78439772835685
2010-08-17,9.4780633481749
2010-08-18,11.313671504591
2010-08-19,14.0313072827499
2010-08-20,15.66568761387
2010-08-21,13.3265276679347
2010-08-22,11.8440796711763
2010-08-23,11.322306202526
2010-08-24,10.3131082550242
2010-08-25,9.77652933066562
2010-08-26,9.38854785812213
2010-08-27,9.03972503956156
2010-08-28,8.75092396518106
2010-08-29,8.52085890126854
2010-08-30,8.31935936007894
2010-08-31,8.12479731298492
2010-09-01,7.94551814119433
2010-09-02,7.75948013866071
2010-09-03,7.65193548263742
2010-09-04,7.56245430698977
2010-09-05,7.41766867462385
2010-09-06,7.64784541072704
2010-09-07,7.83314890106513
2010-09-08,7.6690462202805
2010-09-09,7.60720484626277
2010-09-10,7.53735754472754
2010-09-11,7.47320748344431
2010-09-12,7.36564949468379
2010-09-13,7.3069224458147
2010-09-14,7.21091818098025
2010-09-15,7.09534561450011
2010-09-16,7.06681018197836
2010-09-17,7.51318955497985
2010-09-18,7.88734065507426
2010-09-19,7.70204056822784
2010-09-20,7.41551461540232
2010-09-21,7.16865669946571
2010-09-22,6.78604391989689
2010-09-23,6.557741286822
2010-09-24,6.19806483362665
2010-09-25,6.0884658442677
2010-09-26,5.97648586638457
2010-09-27,5.87080880331676
2010-09-28,5.76264880828637
