"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",2002-10-01,0.00219378302190722,55790,10,275,2002.74863013699,1834,2003,1,-6.12212781814215,NA,NA,2.25601012008949,0.024082286015991,9.54788355392077,1.80973308980781,9.44753985092228,12.8134540980111
"2",2002-10-02,0.00119378302190722,55791,10,276,2002.75136986301,1834,2003,2,-6.73062800422128,NA,NA,2.26292316072645,0.0261619592770853,9.61464810801299,0.991682237343593,9.45596973825414,9.65502643002899
"3",2002-10-03,0.00319378302190722,55792,10,277,2002.75410958904,1834,2003,3,-5.74654916452529,NA,NA,2.24753492492742,0.0237679723895188,9.46743472008355,2.61247094812953,9.41418177073303,9.74282830496206
"4",2002-10-04,0.00219378302190722,55793,10,278,2002.75684931507,1834,2003,4,-6.12212781814215,NA,NA,2.25212328268662,0.0240932165333361,9.51124475007646,1.80278846639325,9.38984081966491,9.50476520818444
"5",2002-10-05,0.00219378302190722,55794,10,279,2002.7595890411,1834,2003,5,-6.12212781814215,NA,NA,2.25075205772485,0.024097201073541,9.49835948618271,1.80034615671198,9.389069356544,7.82670342548517
"6",2002-10-06,0.00119378302190722,55795,10,280,2002.76232876712,1834,2003,6,-6.73062800422128,NA,NA,2.25740032155096,0.0261740752388766,9.56234687624135,0.986287739078399,9.39798308278773,6.43198946841269
"7",2002-10-07,0.00119378302190722,55796,10,281,2002.76506849315,1834,2003,7,-6.73062800422128,0.00190806873619293,NA,2.25601961175712,0.0261771042293244,9.54927156829871,0.984939114512129,9.40452580064309,6.11328139373501
"8",2002-10-08,0.00119378302190722,55797,10,282,2002.76780821918,1834,2003,8,-6.73062800422128,0.00176521159333579,NA,2.25463890196327,0.0261801332197721,9.53619626035607,0.983590489945858,9.40501897654562,5.58853391621121
"9",2002-10-09,0.00119378302190722,55798,10,283,2002.77054794521,1834,2003,9,-6.73062800422128,0.00176521159333579,NA,2.25325819216943,0.0261831622102199,9.52312095241344,0.982241865379588,9.37941371261222,6.0204410255876
"10",2002-10-10,0.00219378302190722,55799,10,284,2002.77328767123,1834,2003,10,-6.12212781814215,0.00162235445047864,NA,2.24389593291658,0.0241171237745636,9.4339331667193,1.78813460830661,9.35056480089361,6.41250937182471
"11",2002-10-11,0.00219378302190722,55800,10,285,2002.77602739726,1834,2003,11,-6.12212781814215,0.00162235445047864,NA,2.24252470795481,0.0241211083147684,9.42104790282556,1.78569229862534,9.34073730645766,6.32570811240906
"12",2002-10-12,0.00219378302190722,55801,10,286,2002.77876712329,1834,2003,12,-6.12212781814215,0.00162235445047864,NA,2.24115348299315,0.0241250928549729,9.40816263893288,1.78324998894427,9.31905080976488,6.6839546835191
"13",2002-10-13,0.00219378302190722,55802,10,287,2002.78150684932,1834,2003,13,-6.12212781814215,0.00176521159333579,NA,2.2397822580315,0.0241290773951774,9.3952773750402,1.7808076792632,9.29326911705718,7.45344175832072
