"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1970-10-01,2.15589307545924,44102,10,275,1970.74863013699,1450,1971,1,0.76820505787409,NA,NA,1.6362510353548,0.0811242938770057,5.15326918533288,959.895131267804,5.23923601725497,2432.89880330366
"2",1970-10-02,1.68696946434813,44103,10,276,1970.75136986301,1450,1971,2,0.522933702835774,NA,NA,1.651065004219,0.0832150878767032,5.23222959344264,762.619238317124,5.23540428281997,2017.11248366104
"3",1970-10-03,24.7225250199037,44104,10,277,1970.75410958904,1450,1971,3,3.20771477219117,NA,NA,1.44855231110451,0.0773146758705936,4.271383500965,9123.78690479904,5.1783873989446,1762.67838058207
"4",1970-10-04,13.5697472421259,44105,10,278,1970.75684931507,1450,1971,4,2.60784284744824,NA,NA,1.49605726117077,0.082820732446761,4.48044076921657,5252.98597386494,5.16516397764242,1784.33966907651
"5",1970-10-05,5.51693474212591,44106,10,279,1970.7595890411,1450,1971,5,1.70782240571316,NA,NA,1.57941077889537,0.0790827437389782,4.86788629285722,2320.34207124521,5.1885244452887,1543.29143838492
"6",1970-10-06,3.80092779768147,44107,10,280,1970.76232876712,1450,1971,6,1.3352451942154,NA,NA,1.60234044338837,0.0796074920004037,4.98190090998424,1636.05706451024,5.22305935065292,2316.40164165594
"7",1970-10-07,2.96446946434813,44108,10,281,1970.76506849315,1450,1971,7,1.08669808367308,7.77392382942749,NA,1.61680657514673,0.0801267176406287,5.05451920014638,1294.61482014871,5.19080317128054,1483.90589079569
"8",1970-10-08,2.48287224212591,44109,10,282,1970.76780821918,1450,1971,8,0.909416052172034,7.8206351389513,NA,1.6271094128406,0.0804906619904364,5.1062151523207,1095.38610025131,5.17992138536105,1813.02776342837
"9",1970-10-09,2.06464307545924,44110,10,283,1970.77054794521,1450,1971,9,0.724957366659681,7.87458851196718,NA,1.63795946313418,0.0815041608772155,5.16253258955042,920.919210870061,5.17927917321346,3193.75973717166
"10",1970-10-10,1.8998861310148,44111,10,284,1970.77328767123,1450,1971,10,0.641793953331614,4.61421152784019,NA,1.64281059649504,0.0821878226007919,5.18838235186405,851.67380212201,5.11772415277647,1807.78697401059
"11",1970-10-11,2.25728196434813,44112,10,285,1970.77602739726,1450,1971,11,0.814161418853058,2.99814505958622,NA,1.63230958093203,0.0807789780137683,5.13251056049251,1000.98923213025,5.12449579041099,1495.45320451688
"12",1970-10-12,2.30037224212591,44113,10,286,1970.77876712329,1450,1971,12,0.83307095424228,2.5386361310148,NA,1.63102946144594,0.080664726039312,5.12582931465339,1018.76965689346,5.116654603822,1661.16785727465
"13",1970-10-13,2.68565001990369,44114,10,287,1970.78150684932,1450,1971,13,0.987922791735027,2.3793107341894,NA,1.62165847090759,0.0803860010475709,5.07885210902636,1178.49766472881,5.14490533685379,1980.36306114077
"14",1970-10-14,4.94155279768147,44115,10,288,1970.78424657534,1450,1971,14,1.5976796133225,2.66175121037988,NA,1.58511949484192,0.0792934725391273,4.89577383739476,2090.25143161867,5.09483763449828,1985.80737114862
"15",1970-10-15,5.87433057545924,44116,10,289,1970.78698630137,1450,1971,15,1.77059210893536,3.14624525799892,NA,1.57102976169823,0.079783067358644,4.82853771244449,2450.68646851906,5.04454149965887,3170.10650793529
