"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",2001-10-01,0.003,55425,10,275,2001.74863013699,1822,2002,1,-5.80914299031403,NA,NA,2.4968055510137,0.0295990307115534,12.1497578290635,3.14921722929326,11.8278389632303,17.7119138943608
"2",2001-10-02,0.003,55426,10,276,2001.75136986301,1822,2002,2,-5.80914299031403,NA,NA,2.49634473177988,0.0295932170870149,12.1441765880868,3.14777057163211,11.843232879488,13.6106703794838
"3",2001-10-03,0.002,55427,10,277,2001.75410958904,1822,2002,3,-6.21460809842219,NA,NA,2.51397856902693,0.0281146099823172,12.3596574053245,2.13574879964007,11.805926258162,13.8707360822427
"4",2001-10-04,0.002,55428,10,278,2001.75684931507,1822,2002,4,-6.21460809842219,NA,NA,2.51332686330297,0.0281105413118524,12.3516512900726,2.13436534292455,11.7789315895994,14.0380185816974
"5",2001-10-05,0.002,55429,10,279,2001.7595890411,1822,2002,5,-6.21460809842219,NA,NA,2.51267515757895,0.0281064726413873,12.3436451748201,2.13298188620892,11.7971545009888,11.5425505927046
"6",2001-10-06,0.002,55430,10,280,2001.76232876712,1822,2002,6,-6.21460809842219,NA,NA,2.51202345185499,0.0281024039709226,12.3356390595683,2.13159842949341,11.790529117019,10.3840912356745
"7",2001-10-07,0.002,55431,10,281,2001.76506849315,1822,2002,7,-6.21460809842219,0.00228571428571429,NA,2.51137174613102,0.0280983353004578,12.3276329443165,2.13021497277789,11.7936940570967,10.2708212425134
"8",2001-10-08,0.003,55432,10,282,2001.76780821918,1822,2002,8,-5.80914299031403,0.00228571428571429,NA,2.49256795530927,0.0295523297840492,12.0985985369203,3.13595674076975,11.7805068879435,9.82397540252854
"9",2001-10-09,0.003,55433,10,283,2001.77054794521,1822,2002,9,-5.80914299031403,0.00228571428571429,NA,2.49193849256417,0.029545515233555,12.0910021950593,3.13398776895938,11.7538307289656,10.7393239559238
"10",2001-10-10,0.017,55434,10,284,2001.77328767123,1822,2002,10,-4.07454193492592,0.00442857142857143,NA,2.4461671512049,0.0325048841231806,11.5506470612703,16.9655904035939,11.6864320235904,12.4479665799349
"11",2001-10-11,0.011,55435,10,285,2001.77602739726,1822,2002,11,-4.50986000618377,0.00571428571428571,NA,2.45549451728341,0.0301275704996445,11.6579128458989,11.0796803687423,11.694606153362,11.7382033618273
"12",2001-10-12,0.004,55436,10,286,2001.77876712329,1822,2002,12,-5.52146091786225,0.006,NA,2.48009760226736,0.0299367123499156,11.9484188656216,4.12937355995884,11.7049460502819,11.7169747289365
"13",2001-10-13,0.005,55437,10,287,2001.78150684932,1822,2002,13,-5.29831736654804,0.00642857142857143,NA,2.47343545349723,0.0298835355581656,11.8691453213784,5.12747077883548,11.6681167684513,14.0328256997177
"14",2001-10-14,0.004,55438,10,288,2001.78424657534,1822,2002,14,-5.52146091786225,0.00671428571428571,NA,2.47885671563185,0.0299171522245031,11.9335931699581,4.12424979953753,11.6416136585453,16.392218906556
"15",2001-10-15,0.004,55439,10,289,2001.78698630137,1822,2002,15,-5.52146091786225,0.00685714285714286,NA,2.4782362723141,0.0299073721617968,11.9261803221264,4.12168791932688,11.5766423391372,22.3088721799191
"16",2001-10-16,0.003,55440,10,290,2001.7897260274,1822,2002,16,-5.80914299031403,0.00685714285714286,NA,2.48753225334842,0.0294978133800945,12.0378278020312,3.12020496628649,11.6046151500618,19.9842589292134
"17",2001-10-17,0.003,55441,10,291,2001.79246575342,1822,2002,17,-5.80914299031403,0.00485714285714286,NA,2.48690279060332,0.0294909988296003,12.0302314601702,3.11823599447613,11.6067257041979,23.222151764992
"18",2001-10-18,0.009,55442,10,292,2001.79520547945,1822,2002,18,-4.71053070164592,0.00457142857142857,NA,2.45587546961821,0.0298828421578642,11.6623712982991,9.06865992155736,11.5385870728624,34.219790693649
"19",2001-10-19,0.009,55443,10,293,2001.79794520548,1822,2002,19,-4.71053070164592,0.00528571428571429,NA,2.45526950043365,0.0298617320680067,11.6552744234993,9.06314139171307,11.490683630038,39.51043283304
"20",2001-10-20,0.009,55444,10,294,2001.80068493151,1822,2002,20,-4.71053070164592,0.00585714285714286,NA,2.45466353124909,0.0298406219781492,11.6481775486996,9.05762286186878,11.4667573329808,32.2198084420088
"21",2001-10-21,0.009,55445,10,295,2001.80342465753,1822,2002,21,-4.71053070164592,0.00657142857142857,NA,2.45405756206453,0.0298195118882918,11.6410806738998,9.05210433202449,11.4173023464511,49.4475844063239
"22",2001-10-22,0.066,55446,10,296,2001.80616438356,1822,2002,22,-2.71810053695571,0.0154285714285714,NA,2.39363459337747,0.0507398556084545,10.9692048043573,62.5507934763671,11.379152020822,69.4562694559796
"23",2001-10-23,0.034,55447,10,297,2001.80890410959,1822,2002,23,-3.38139475436598,0.0198571428571429,NA,2.42270482586906,0.0398700499772351,11.2857970307318,33.1531573574778,11.3685274665263,40.4911756480164
"24",2001-10-24,0.02,55448,10,298,2001.81164383562,1822,2002,24,-3.91202300542815,0.0222857142857143,NA,2.43526236466813,0.033292155348532,11.4253308840825,19.7429717676946,11.3899803634522,32.073485265953
"25",2001-10-25,0.015,55449,10,299,2001.81438356164,1822,2002,25,-4.19970507787993,0.0231428571428571,NA,2.4403824542058,0.0312948048311101,11.4833439645401,14.8824137780439,11.3915476695691,28.7745335384297
"26",2001-10-26,0.013,55450,10,300,2001.81712328767,1822,2002,26,-4.3428059215206,0.0237142857142857,NA,2.44244415459158,0.0302886875843256,11.5066404205159,12.9242585203235,11.3761262354168,26.8786772746639
"27",2001-10-27,0.014,55451,10,301,2001.8198630137,1822,2002,27,-4.26869794936688,0.0244285714285714,NA,2.44011226767635,0.0307890953913435,11.4801655280211,13.8864082226943,11.3806416054783,28.5719363246448
"28",2001-10-28,0.013,55452,10,302,2001.82260273973,1822,2002,28,-4.3428059215206,0.025,NA,2.44076255815527,0.0302548759315704,11.4874355899092,12.902687654586,11.313839755426,33.9800986062362
"29",2001-10-29,0.016,55453,10,303,2001.82534246575,1822,2002,29,-4.13516655674236,0.0178571428571429,NA,2.43577767479778,0.0317014936648066,11.4310211716936,15.8022436677492,11.2915159653825,34.9418608936651
"30",2001-10-30,0.053,55454,10,304,2001.82808219178,1822,2002,30,-2.93746336543002,0.0205714285714286,0.0117666666666667,2.39718338348554,0.0473641953067877,11.00701813115,50.4033374261622,11.2971819215508,29.5078742686065
"31",2001-10-31,0.08,55455,10,305,2001.83082191781,1822,2002,31,-2.52572864430826,0.0291428571428571,0.0143333333333333,2.37185772584505,0.0545349550443903,10.7344578381209,74.1965725770916,11.1792675759161,39.9394119790252
